is_bad,member_id,loan_status,emp_title,emp_length,home_ownership,annual_inc,pymnt_plan,desc,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,revol_util_percent,policy_code,Partition
No,M1288878,Current,"Multivista, FL dba Premium Documentation",3 years,MORTGAGE,66000,n,looking to consolidate debt.  have a very solid job with extreme job security.  have never been late on a payment and have a very good credit score.  Will be using this to consolidate credit cards and student loans.  Consolidating will provide me with a better interest rate and savings on monthly payments.  I also pay extra every month and plan to do so with this as well.   Borrower added on 12/06/11 > Please help me.  I will not let you down.  This seems to be the only place lending money and I can get out of debt and help you make some money off of it with help.  Borrower added on 12/13/11 > I only have a few days left so please keep them coming.  For those who have invested in me Thank you.  This will help me get out of debt.     Borrower added on 12/16/11 > Please help me consolidate and get out of debt in less than 5 years.  Banks aren't lending and equity has dissapeared.,327xx,FL,8.96,0,12/1/96,0,NA,NA,12,0,42.9,17,FALSE,0,NA,43%,1,T
No,M0678941,Fully Paid,Township of North Bergen,9 years,RENT,78000,n,t,074xx,NJ,8.4,0,5/1/01,0,NA,NA,6,0,80.8,10,FALSE,0,NA,81%,1,T
No,M0896170,Fully Paid,IBM,10+ years,MORTGAGE,64500,n,"I am a good candidate for this loan because I have always paid my debts on time. I have a high credit score with zero late payments. I own a home and have cash reserves available in the case of an emergency. I have been employed by IBM for 10 years with a stable and bright future. The main purpose of this loan is so I can stop shoveling money into the mouths of the big banks, who don't seem to have my financial interests in mind.",301xx,GA,10.66,0,11/1/91,0,NA,NA,16,0,34.4,44,FALSE,0,NA,34%,1,T
Yes,M0622726,Charged Off,SJ LEVINSON  and  SONS,< 1 year,RENT,75600,n,,070xx,NJ,20.1,0,9/1/95,2,62,NA,6,0,97.7,20,FALSE,0,NA,98%,1,T
No,M1058862,Fully Paid,US COAST GUARD,9 years,RENT,62068.8,n,"I'm great at installment loans, but learned that I go wild with credit cards. I've learned from my mistakes and cancelled all my cards. Just looking to combine all of them into one payment. 9 years in the military and any delinquency in debts can get me in a lot more trouble than if I were a civilian. null Borrower added on 08/12/11 > I want to pay off 3 credit cards totaling $16,500 and a small personal loan. My current payments on all of these totals just under $500. Please feel free to ask any questions as I'm more than happy to answer.",784xx,TX,16.16,0,11/1/99,1,NA,NA,4,0,47.36,19,FALSE,0,NA,47%,1,T
No,M1248764,Fully Paid,hospice,5 years,MORTGAGE,22800,n,for home repairs.had to get all my windows replaced due to leaks.,296xx,SC,20.68,0,3/1/02,0,NA,NA,4,0,0,15,FALSE,0,NA,0%,1,T
Yes,M1279150,Charged Off,Four Food Studio,< 1 year,RENT,60000,n,,117xx,NY,20.68,0,10/1/94,0,NA,NA,9,0,64.6,20,FALSE,0,NA,65%,1,T
No,M0558423,Fully Paid,WV Army National Guard,10+ years,MORTGAGE,64800,n,,251xx,WV,22.81,1,3/1/84,2,16,NA,9,0,39.9,41,FALSE,0,NA,40%,1,T
Yes,M0658271,Charged Off,u s coast guard,10+ years,RENT,120000,n,I am requesting a loan to help me with home improvement and purchase appliance for my house.,981xx,WA,0.5,0,6/1/01,0,NA,NA,6,0,2.3,8,FALSE,0,NA,2%,1,T
No,M0720567,Fully Paid,SHOPRITE,10+ years,RENT,32000,n,,080xx,NJ,13.2,0,8/1/84,0,NA,NA,18,0,40.7,38,FALSE,0,NA,41%,1,T
No,M0799893,Fully Paid,Rowerdink Inc,10+ years,MORTGAGE,88000,n,"The purpose of this loan is pay off three high interest rate credit cards. Both myself and my spouse, have steady jobs and have been employed at them for 10 plus years. I am in the process of taking on more responsibilities with my employer. As a result, I am being additionally compensated for the increased job functions.",480xx,MI,14.63,0,7/1/94,1,75,NA,9,0,71.1,55,FALSE,0,NA,71%,1,T
No,M1225348,Fully Paid,Clayton Police,7 years,RENT,60000,n,Funding will be used for the purpose of paying off car loan along with three credit cards. Lenders can be assured of re-payment.  Consolidating payments will allow for a monthly savings of $600.00.,884xx,NM,18.32,0,8/1/94,2,NA,NA,7,0,44.8,15,FALSE,0,NA,45%,1,T
No,M0265533,Fully Paid,NA,< 1 year,MORTGAGE,110000,n,Taking advantage of excellent credit to pay off credit card,146xx,NY,7.07,0,11/1/91,1,0,0,6,0,52.7,19,FALSE,0,NA,53%,1,T
No,M0416089,Fully Paid,Doherty  and  Associates,1 year,MORTGAGE,84996,n,Pay off other credit cards.,197xx,DE,4.04,0,1/1/84,7,67,NA,12,0,47.6,23,FALSE,0,NA,48%,1,T
No,M0702455,Fully Paid,American Airlines,10+ years,MORTGAGE,110000,n,"The funds will be used to build a deck on the house we have lived in for 10 yrs.The kids are older,swing set goes,deck goes up. The cost of the deck is split 50/50,50% borrowed funds, 50 % my own. This leaves cash free for the inevitable project cost increases and unexpected consequences of construction.  As an airline pilot I managed risk everytime I go to work. My safety record is impeccable. This attitude is also reflected in my credit history. Never late on a bill, and have and always will honor my debts.  Respectfully submitted.",605xx,IL,11.19,0,8/1/92,3,NA,NA,17,0,7.2,32,FALSE,0,NA,7%,1,T
No,M0918021,Fully Paid,State Street Bank,4 years,RENT,40906,n,,641xx,MO,20.97,0,12/1/00,0,25,NA,14,0,49.8,30,FALSE,0,NA,50%,1,T
No,M0961923,Fully Paid,Chicken Box,2 years,RENT,18000,n,,763xx,TX,13.67,0,2/1/07,3,NA,NA,4,0,60.4,6,FALSE,0,NA,60%,1,T
No,M1245507,Fully Paid,Arizona's Best Choice Pest,n/a,MORTGAGE,80000,n,,852xx,AZ,0.75,0,5/1/04,0,NA,NA,7,0,10.1,16,FALSE,0,NA,10%,1,T
No,M0945376,Fully Paid,FERGUSON ENTERPRISES,10+ years,MORTGAGE,99996,n,,750xx,TX,14.6,0,11/1/91,0,NA,NA,14,0,25.3,30,FALSE,0,NA,25%,1,T
No,M0429683,Fully Paid,Aap st Mary corp,10+ years,MORTGAGE,48000,n,want to considate my capital one bank of america credit cards.    I have had capital one credit card for a long time and want to pay off the balance in 36 to 60 mounths.  give me a call at (937)829-4116 if you have questions.  Thank you for all your help.,453xx,OH,13.8,0,11/1/94,2,NA,NA,6,0,60.4,17,FALSE,0,NA,60%,1,T
No,M1235278,Fully Paid,Department of Veteran Affairs,3 years,MORTGAGE,71201,n,,087xx,NJ,15.32,0,7/1/00,0,66,NA,11,0,62,22,FALSE,0,NA,62%,1,T
No,M1268848,Fully Paid,US Navy,10+ years,MORTGAGE,110000,n,The plan is to do a couple of debt consolidations into 1 payment.  I have excellent credit and pay bills on time.  I work for the Federal government so I have a secure job.,925xx,CA,1.32,0,2/1/80,0,NA,NA,9,0,0.3,26,FALSE,0,NA,0%,1,T
No,M0678952,Fully Paid,VERIZON,10+ years,RENT,55000,n,this loan is a debt consolidation loan to pay off credit cards...I am a thirty year active employee of Verizon..,900xx,CA,23.08,0,9/1/91,0,NA,NA,7,0,93,11,FALSE,0,NA,93%,1,T
No,M1076280,Fully Paid,bren-tronics,7 years,RENT,60000,n,debt consolidation debt consolidation null,115xx,NY,24.6,0,1/1/90,0,81,NA,9,0,50.6,35,FALSE,0,NA,51%,1,T
No,M1067125,Current,The Bank of New York Mellon,3 years,RENT,192000,n,"Dear Members, I have the need to help my family with the money I requested. I have never defaulted on a single payment in terms of paying my bills, credit cards etc. My lifestyle and upbringing encourages me to save at least 25% from every single paycheck. I work at a senior position in my organization. My work demads high level of responsibility and I also manage large teams. This inculates a habit of being responsible both personally and professionally. Paying down this loan on the terms provided will be quite easy. Being helped will also encourage me to be on other side and help people here who require assistance. Thanks a lot, all, for your help.  Kind Regards.",100xx,NY,0.22,0,10/1/00,0,NA,NA,5,0,0.1,5,FALSE,0,NA,0%,1,T
No,M0767474,Fully Paid,CitiGroup,6 years,MORTGAGE,33000,n,,410xx,KY,12.22,0,6/1/96,3,NA,NA,10,0,34,45,FALSE,0,NA,34%,1,T
No,M0846352,Fully Paid,Compass Group,10+ years,MORTGAGE,60000,n,,145xx,NY,24.3,0,12/1/84,1,NA,NA,20,0,23.3,41,FALSE,0,NA,23%,1,T
No,M1016323,Current,Ciber Inc,10+ years,MORTGAGE,75000,n,,170xx,PA,6.42,0,11/1/85,0,NA,NA,5,0,94.9,18,FALSE,0,NA,95%,1,T
No,M0744425,Fully Paid,Rite Aid,8 years,MORTGAGE,41869,n,I plan on using this loan to consolidate my debt that I incurred from my marriage and divorce. I have a stable job and have been there 8 years.,436xx,OH,18.43,0,8/1/94,0,NA,NA,10,0,18.5,12,FALSE,0,NA,18%,1,T
Yes,M0744372,Charged Off,Intel,4 years,MORTGAGE,71000,n,,852xx,AZ,24.66,0,9/1/01,0,NA,NA,10,0,84.1,14,FALSE,0,NA,84%,1,T
No,M0829876,Fully Paid,Zone 7 Water Agency,4 years,RENT,78000,n,,945xx,CA,14.75,0,11/1/98,1,NA,NA,8,0,99,27,FALSE,0,NA,99%,1,T
No,M0894454,Fully Paid,Team Health,2 years,MORTGAGE,146000,n,"October 2011 Wedding Hello,  This loan is to help pay for our Oct 2011 wedding. We have been saving for this day for a couple of years, but have recently encountered some unexpected expenses. Any help would be greatly appreciated to make our special day come true.  Thank you!",070xx,NJ,19.25,0,1/1/00,2,NA,NA,23,0,16,46,FALSE,0,NA,16%,1,T
No,M0963996,Fully Paid,SailPoint Technologies,3 years,RENT,67200,n,,760xx,TX,14.29,0,12/1/00,0,59,NA,6,0,78.8,20,FALSE,0,NA,79%,1,T
No,M0425322,Fully Paid,Providence Associates Medical Laboratories,5 years,MORTGAGE,25700,n,"I am in need of re roofing my garage and replacing the Backyard Fence. We had a REALLY BAD winter this last year in Spokane, Washington and it really took a toll on my house. I am in need to make the repairs, although, I am short on the funds needed to do these projects. I have been a homeowner for approximately 3 years now. I work full time in the Medical Laboratory Field. I am a VERY honest person and pay ALL my bills monthly EVERY month. I have not fell behind on any of my monthly bills for over 6 years.",992xx,WA,12.98,0,10/1/05,0,NA,89,9,1,0,14,FALSE,0,NA,0%,1,T
No,M0997979,Fully Paid,XONEX Relocation,8 years,RENT,72000,n,I plan to use the funds to make some small home improvements that just can't wait any longer. These rates are competitve and the process is easy. I will pay back the loan and will often borrow again. I have a very secure job and work in a high demand industry.,198xx,DE,19.08,0,8/1/98,2,33,NA,11,0,59.5,28,FALSE,0,NA,60%,1,T
No,M1058378,Fully Paid,Hanley Wood,1 year,RENT,42996,n,"This will be used for all wedding expenses. Easier to pay one monthly bill rather than multiple. The majority of this loan will be for the ring, which I have picked out. A little info about me: I have never missed a payment. Had a car loan which I actually paid off early. I pay $750 a month for rent, $300 in utilities and misc (food, dog). null Borrower added on 08/22/11 > I would love to be fully funded. If there are any questions please dont hesitate to ask! null",208xx,MD,4.55,0,3/1/02,0,NA,NA,6,0,21.6,11,FALSE,0,NA,22%,1,T
No,M0365924,Fully Paid,Tegron,2 years,MORTGAGE,100000,n,Loan will be used to pay-off credit cards with high rates.  I am a Project Manager/Engineer with a salary over $100k and will have no problem repaying this loan.,760xx,TX,7.88,0,6/1/83,0,31,NA,6,0,41.4,14,FALSE,0,NA,41%,1,T
No,M0633398,Fully Paid,Millennium Thoroughbreds,2 years,RENT,44400,n,The payroll company my employer uses upgraded their software in late Feburary 2009 and during that time the tax takeouts were changed without notice until I went and had my taxes done last weekend. Went from S0 to M2.  I have never been late on a payment to anyone and do not plan on starting now.  Thanks for looking at my loan request if you have any questions before investing do not hesitate to ask.,403xx,KY,16.68,0,8/1/97,0,NA,NA,3,0,96.5,8,FALSE,0,NA,96%,1,T
No,M0636687,Fully Paid,Tamko,10+ years,MORTGAGE,40000,n,Personal improvements for my family I want this money to take my family on a trip. My job is 99% stable.,647xx,MO,20.01,0,11/1/98,4,25,NA,5,0,0,16,FALSE,0,NA,0%,1,T
No,M0827632,Fully Paid,visting nurse service of new york,1 year,RENT,43000,n,"Dental crisis expenses not covered by insurance and what is covered by insurance is only a 2,000 max- on my way to being promoted to a high level marketting position within the next 1 year and must take care of dental issues to perform confidently and effectively- dental crisis not enough covered by insurance and issue will only worsen-not only is my health t serious risk, but I am young man on my way to being promoted to a high level marketing position within the next 1-2 years and in order to perform at a high and effective/ confident level, I must take care of my severe dental crisis",107xx,NY,9.93,0,3/1/03,0,NA,NA,6,0,80.2,14,FALSE,0,NA,80%,1,T
No,M0853705,Fully Paid,Law Office of Jillian Sidoti,2 years,RENT,30000,n,"I am requesting a loan so that I can purchase a motorcycle which is also my primary vehicle.  I intend to spend no more then $1500 dollars on the bike itself, which will leave me a $500 cushion to get insurance/registration and a helmet.  I have enough money in my personal saving to purchase this outright, but to avoid financial burden, I prefer to have large transactions such as this financed.  I also plan on paying my loan back in automated monthly installments of $100 a month so that I can pay my loan off in less then 3 years, thus incurring a minimum interest charge.  Thanks for considering my proposal.",925xx,CA,3.4,0,4/1/04,0,NA,NA,5,0,34.7,8,FALSE,0,NA,35%,1,T
No,M1053821,Fully Paid,Hollister School District,3 years,RENT,50000,n,"I plan to use these funds to pay off three credit cards that have a higher interest rate and would take much longer to pay off without this loan. This will allow me to pay off the three credit cards in three years and only have to pay about $30 more than I am currently paying every month. I have changed my dental insurance from one company to another company giving me a savings of $37 and getting better coverage so I will have no problem making the payment for this loan. I pay my bills every month when they are due and have for many years which makes me a good borrower. I work as a paraprofessional in a school district that is doing well and I am starting my fourth year there. My supervisor and many teachers would give me a good reference, therefore I do not foresee losing my job in the near future.",657xx,MO,25.08,0,4/1/87,5,79,NA,10,0,43.8,42,FALSE,0,NA,44%,1,T
No,M0144338,Fully Paid,Equant,5 years,RENT,95000,n,"I am planning to start a side business to my current job that pays well.  The project is to start my consulting company with a partner to offer Sourcing and Negotiation advice and support in the High tech and media fields. I have a 7-year experience including negotiation of big outsourcing, multi-million dollar master services agreement and supply deals for major companies. I will also rely on a great business network that I have acquired for these years and contacts who perfectly know my abilities.  The load which is a partial funding of the costs to start the company will help pay for a web site and miscellaneous business set up fees and basic resources (Laptop, prints, registrations, etc).  I could easily finance these $5,600 myself by selling stocks or getting out of few financial investments I have but the transaction and transfer fees would cost me more than the interest I would pay on a loan!  My current income (base gross income above $7,000 per month + bonus) and monthly average spend will allow to repay the loan easily and it is likely that I will pay off the loan entirely after 6 months as I will afford it.  I have currently no debt, no mortgage, no autoloan, no student to repay.  Thanks for your contribution and for lending money to a promising business.",100xx,NY,0.13,0,3/1/07,1,0,0,1,0,21.8,1,FALSE,0,NA,22%,1,T
No,M1098218,Fully Paid,State of Washington,10+ years,MORTGAGE,82000,n,,985xx,WA,24.04,0,6/1/02,0,NA,NA,12,0,92.2,22,FALSE,0,NA,92%,1,T
No,M1003971,Fully Paid,USMC,3 years,RENT,43200,n,to help grandparents pay some outstanding debt.,285xx,NC,6.86,0,2/1/08,1,NA,NA,2,0,99.9,4,FALSE,0,NA,100%,1,T
No,M0742241,Fully Paid,JP Morgan Chase,< 1 year,RENT,26400,n,,782xx,TX,18.05,0,10/1/02,4,55,NA,9,0,55.9,23,FALSE,0,NA,56%,1,T
No,M1056507,Fully Paid,gurly leep,7 years,MORTGAGE,50000,n,"consalidating a few bills to one paymaent instead of several. trying to work at gettig ahead . need a few things around house, paint ,tile. null Borrower added on 08/09/11 > This loan will help us so we have one amount going out at a lesser amount instead of several . This loan will  make alot less stress on our family and be payed faithfully every month this is a fresh start to us getting back on track financialy. null Borrower added on 08/16/11 > We are praying this whole loan goes thru ,If we can get the full loan amount we can put all of our bills on one payment at a lower intrest. will help so much with our stress and we will be able to save a enough a month to get much needed windows for the house and work toward our new well that is also been on hold for awhile now. null",491xx,MI,15.31,1,6/1/01,0,11,NA,7,0,85.1,17,FALSE,0,NA,85%,1,T
No,M0499706,Fully Paid,bunzl,< 1 year,MORTGAGE,55000,n,"499706 added on 10/23/09 > want to finish off pole barn, for use as a year round hobby shop.",484xx,MI,1.07,0,1/1/00,0,28,NA,4,0,11.4,13,FALSE,0,NA,11%,1,T
No,M1284990,Fully Paid,ATT,10+ years,MORTGAGE,80000,n,,800xx,CO,6.57,0,7/1/02,0,NA,NA,10,0,94.3,14,FALSE,0,NA,94%,1,T
Yes,M0634235,Charged Off,Iron Mountain Information Management,8 years,RENT,220000,n,Requesting loan to complete moving expenses related to work related relocation,320xx,FL,17.51,0,12/1/87,3,NA,NA,9,0,75.4,32,FALSE,0,NA,75%,1,T
No,M0923807,Fully Paid,NA,n/a,MORTGAGE,54000,n,,146xx,NY,15.27,0,10/1/01,1,NA,NA,16,0,34.4,25,FALSE,0,NA,34%,1,T
No,M0920405,Fully Paid,Hair One,10+ years,MORTGAGE,65000,n,,080xx,NJ,2.16,0,12/1/95,0,NA,NA,5,0,7.2,17,FALSE,0,NA,7%,1,T
No,M1260513,Fully Paid,NA,n/a,RENT,40000,n,,112xx,NY,23.19,0,8/1/01,2,NA,NA,6,0,79.2,15,FALSE,0,NA,79%,1,T
No,M1188019,Fully Paid,University of Texas at Austin,10+ years,MORTGAGE,73527,n,"Paying off credit card debt at a lower, fixed interest rate",786xx,TX,21.87,0,1/1/90,0,36,NA,20,0,69,40,FALSE,0,NA,69%,1,T
No,M0767961,Fully Paid,Nordstrom,2 years,RENT,63000,n,"I am a hardworking, college graduate that used credit cards to get myself through school. I have held a steady Management job with a great company for the last two years and am looking for a loan to consolidate my multiple credit card bills into one monthly payment. I currently pay approximately $600/month in credit card bills and have NEVER missed a credit card or loan payment. I am simply looking for a loan to streamline my monthly expenses and lower my overall monthly payment. Thank you! I would also like to add that I plan on paying my loan off in 48 months instead of the full 60. Again, I currently pay approximately $600 per month in credit card bills and I have never missed a payment. If my loan is fully funded, my payment will equate to nearly $200 less than I currently pay so I am confident that I can pay this loan off completely and in a timely manner! Thank you!",926xx,CA,13.96,0,9/1/05,2,NA,NA,7,0,54.3,8,FALSE,0,NA,54%,1,T
No,M0244429,Fully Paid,Tulley,6 years,OWN,44000,n,Debt cosoildation,030xx,NH,18.52,0,12/1/94,2,26,0,8,0,70.5,31,FALSE,0,NA,70%,1,T
Yes,M0493496,Charged Off,superior bank,< 1 year,RENT,27000,n,Consolidate 2 cards with balance of apx. $2500 with a 29.99% interest rate and a 27.99% interest rate.,361xx,AL,4.31,0,7/1/05,0,NA,NA,4,0,95.1,4,FALSE,0,NA,95%,1,T
No,M0614535,Fully Paid,TATA Consultancy Services,3 years,RENT,96600,n,,852xx,AZ,10.2,0,9/1/96,2,NA,NA,8,0,47.7,31,FALSE,0,NA,48%,1,T
No,M0815649,Fully Paid,The American Sugar Refiining Co,10+ years,MORTGAGE,99750,n,"On my loan application, I did not include any income from my business.  I only included income from my job at ASR.",210xx,MD,7.29,0,1/1/94,1,36,NA,6,0,68,18,FALSE,0,NA,68%,1,T
No,M0910027,Fully Paid,InnerSea Discoveries,< 1 year,RENT,37200,n,"Just trying to get down to one payment every month. With the extra money, I plan to get my new car registered and visit my family in Ohio for Thanksgiving.",442xx,OH,3.55,0,6/1/07,1,NA,NA,4,0,23,5,FALSE,0,NA,23%,1,T
No,M0993208,Fully Paid,frontier communications,10+ years,MORTGAGE,92000,n,THIS LOAN IS TO CONSOLIDATE SEVERAL LOANS INTO ONE LOWER PAYMENT,265xx,WV,14.73,0,12/1/91,6,NA,NA,10,0,16,30,FALSE,0,NA,16%,1,T
No,M0379193,Fully Paid,Quadrangle Development Corporation,2 years,MORTGAGE,79000,n,"I have been investing in real estate for about two years.  I recently purchased a new personal residence that I used most of my free cash to acquire.  I came across a great real estate deal that I want to complete.  In the past, hard money lenders would simply lend on investment properties based on the loan to value but now the hard money lenders want you to put up a down payment as well.  That brings me to Lending Club.  The terms through Lending Club allow me to still meet my investment parameters so I figured I would give it a try.  The loan will be used as the downpayment for an investment property that I am going to repair and resell.  The property is in the Petworth area of Washington, DC.  The purchase price is $160,000 and the repairs are estimated at $55,000 with a $5,000 contingency ($60,000 total repair estimate) for a total of $220,000 (62% of value) to acquire and fix up the property.  The after repair value of the property is $355,000 which is conversative.  My hard money lender looked at the deal and immediately said it was solid.  The hard money is lined up but the lender requires that I have some ""skin in the game"" in this environment so he wants me to put down $20,000 as a downpayment.  I am able to pay $5,000 and I am looking for a loan to pay the rest.  I look forward to us all making some money!",200xx,DC,3.08,0,2/1/97,7,NA,NA,7,0,17.5,15,FALSE,0,NA,18%,1,T
No,M0805920,Fully Paid,"Insider Guides, Inc.",2 years,MORTGAGE,250000,n,"These funds will be used for funds to purchase stock using a new strategy stock trading algorithm. My company has partnered with one of the largest online brokers and they are providing direct access to their trade servers. Over the past year we have been developing an algorithm that monitors stock trades at a rate you can only imagine. The algorithm is programmed for small wins and stop losses, so that the money will never be lost. We have ran the algorithm on live data simulating trades to predict profit and have an average gain of $4,000/mo on $25k investment. We have also tested this against historical data and have also seen a profit. We are now ready to invest money into this proven business.  I am a great candidate for this loan because I am well qualified and have the income to back the investment on my own. I have been programming computers for over 14 years for major corporations. I also have a Bachelors  of Science in Business Administration. I also have passed my Series 6 and Series 63 licensing exams for trading. I believe in multiple streams of income so I also hold my life insurance and real estate license.  My full-time job I am the Mobile Platform Architect at the third largest social network in the world. It is a very stable position where I control all mobile development for this company. I make $16,000 a month, and I also own a software company that makes me $5,000 profit a month.  Income: $21,000/mo Mortgage: $1,500 Utilities: $500 Student Loans: $500 Auto Loan: $300 Other Bills: $1000",750xx,TX,7.36,0,12/1/97,1,62,NA,24,0,22,52,FALSE,0,NA,22%,1,T
No,M0770780,Fully Paid,Hadlock Law Office,< 1 year,RENT,37500,n,,016xx,MA,7.71,0,7/1/91,0,NA,NA,14,0,9.2,33,FALSE,0,NA,9%,1,T
No,M0574401,Fully Paid,MHM Services Inc,4 years,RENT,50500,n,574401 added on 11/15/09 > Thank you for lending me this money that will help me get rid of my credit card debt.,221xx,VA,20.29,0,12/1/00,0,NA,NA,6,0,37,12,FALSE,0,NA,37%,1,T
No,M1209962,Fully Paid,FBI,8 years,MORTGAGE,110000,n,,701xx,LA,23.03,0,12/1/91,0,NA,NA,13,0,60.8,40,FALSE,0,NA,61%,1,T
No,M1290534,Fully Paid,sharp memmorial hospital,10+ years,OWN,80000,n,,921xx,CA,16.65,0,6/1/89,0,42,NA,7,0,81.2,17,FALSE,0,NA,81%,1,T
No,M0377217,Fully Paid,Jim Taliaferro CMHC,5 years,MORTGAGE,34000,n,I am seeking a loan for a 2nd honeymoon to Chicago so that my husband and I can see a Chicago Bulls game and go to Soldier Field to see where the Chicago Bears play.,735xx,OK,23.86,1,3/1/95,0,6,NA,9,0,0,21,FALSE,0,NA,0%,1,T
No,M0465741,Fully Paid,State of Texas Health and Human Services Commission,1 year,MORTGAGE,82000,n,"I am a solidly employed attorney looking to clean up ex-spouse credit card debt following 2004 divorce.  My new husband, also an attorney, and I both work in high-profile legal positions with the state of Texas.    We have noticed bank lender rates sky rocketing without regard to our excellent payment histories.",786xx,TX,13.21,1,8/1/87,5,22,115,11,1,73.7,36,FALSE,0,NA,74%,1,T
No,M0776782,Fully Paid,BEST BUY,< 1 year,RENT,12000,n,"I have a great credit score with a very stable job and will pay this loan back on time I also have a pretty large chunk of money coming back this tax season, due to having my first child. I also just got promoted at work for a new position.",494xx,MI,4.4,1,3/1/06,0,21,NA,5,0,29.7,9,FALSE,0,NA,30%,1,T
No,M0417627,Fully Paid,"Orphic Workshop, LLC",2 years,RENT,30000,n,"I'm working on paying of my cards, one by one. Just got one paid off, but the other will go much faster if I can get a better rate!  I'm doing my best to get out of debt, and this will certainly help me achieve my goals of being debt-free. The money will only be used to refinance existing debt, and I'm not adding any more credit debt.",871xx,NM,11.68,0,5/1/90,0,71,NA,5,0,45.8,20,FALSE,0,NA,46%,1,T
Yes,M1108462,Charged Off,Balloon Promotions,10+ years,RENT,40800,n,,070xx,NJ,13.84,0,9/1/04,0,33,NA,6,0,17.1,16,FALSE,0,NA,17%,1,T
Yes,M0599487,Charged Off,Ameristone,3 years,RENT,45000,n,I am not quitting my job and i will be able to make the payments on the loan without a problem,641xx,MO,5.41,0,12/1/97,0,NA,NA,4,0,59.9,22,FALSE,0,NA,60%,1,T
No,M0219488,Fully Paid,UT MD Anderson Cancer Center,3 years,RENT,63000,n,"I love my job and am good at it!  My career has been stalled, however, for the past few years, because I need to finish my Master's Degree in order to be promoted to the next administrative level.  I'm half-way there but need extra funds to make it happen.    My FICO is currently 618, but it should be going up soon when I pay off 2 cards in February.  Help from the Lending Club would be very much appreciated!  Thanks for your consideration!!",770xx,TX,17.22,1,7/1/96,1,18,0,10,0,24.7,14,FALSE,0,NA,25%,1,T
No,M1217741,Fully Paid,Commercial Real Estate Firm,2 years,MORTGAGE,131000,n,"This loan is for several renovations (described in answer to a question) to my house. Based on initial discussions with 3 contractors $35,000 would allow me to fully complete the renovations. Thank you.",200xx,DC,6.35,0,1/1/96,0,NA,NA,7,0,0,17,FALSE,0,NA,0%,1,T
No,M1299445,Fully Paid,Gilbert Express,5 years,RENT,50000,n,"All $$$ will be used for debt consolidation, payment will be done monthly .   Borrower added on 12/13/11 > I am working for this company for more than 5 years.   Borrower added on 12/13/11 > Paying bills on time.",115xx,NY,17.81,0,12/1/01,1,NA,NA,13,0,55.4,21,FALSE,0,NA,55%,1,T
Yes,M1295018,Charged Off,myrvpartsplace.com,3 years,RENT,75000,n,,925xx,CA,22.88,0,12/1/96,0,NA,NA,8,0,74.4,13,FALSE,0,NA,74%,1,T
No,M0375321,Fully Paid,Northeast Marine Sanitation,7 years,MORTGAGE,70000,n,I want to update my musical equipment in order to play as a one man band in a restaurant where I've been offered a job. Borrower added on 02/11/10 > I also want to pay off a couple of credit cards with higher interest rates.,117xx,NY,11.78,0,8/1/94,3,61,NA,6,0,25.8,24,FALSE,0,NA,26%,1,T
Yes,M1047442,Charged Off,Memorial Sloan and Kettering Cancer Cent,2 years,OWN,35000,n,,114xx,NY,19.37,0,11/1/02,3,46,NA,4,0,28.8,12,FALSE,0,NA,29%,1,T
No,M0955545,Fully Paid,Care Improvement Plus,1 year,RENT,100000,n,To complete processing for an inheritance fund,296xx,SC,17.1,0,3/1/94,0,43,NA,6,0,12.5,15,FALSE,0,NA,12%,1,T
No,M1084009,Current,US Military,10+ years,MORTGAGE,93600,n,,781xx,TX,13.26,0,11/1/96,2,NA,NA,11,0,39.3,32,FALSE,0,NA,39%,1,T
No,M1283726,Fully Paid,Alma de Cuba,1 year,RENT,90000,n,,191xx,PA,9.45,0,12/1/98,2,72,NA,11,0,61.4,28,FALSE,0,NA,61%,1,T
No,M1286600,Fully Paid,INTERTEK,10+ years,MORTGAGE,75000,n,Purpose of the loan is to pay off a high interest credit card.,721xx,AR,10.1,0,10/1/97,0,NA,NA,7,0,42.7,31,FALSE,0,NA,43%,1,T
No,M0767556,Fully Paid,Quality Vision International,8 years,MORTGAGE,39900,n,This is to pay for a new roof.,145xx,NY,8.25,0,10/1/94,0,NA,NA,7,0,11.4,38,FALSE,0,NA,11%,1,T
No,M0970116,Fully Paid,TA Instruments,3 years,MORTGAGE,67775,n,"I would like to consolidate and pay off my credit cards with this loan. I have a good, stable job and a monthly budget set up to pay this loan off. My credit history is good overall with the exception of high credit cards debt. I would like to pay credit cards off, clean up my credit history, and increase my credit score. Please let me know if you have any questions.  Thank you With this loan, I would like to consolidate and pay off my credit cards. I have a good, stable job, and I have a monthly budget set up to pay this loan off. My credit history is good overall, with the exception of credit card high balances. I would like to pay them off, clean up my credit history, and increase my credit score. Please let me know if you have any questions.  Thank you.",197xx,DE,18.73,0,9/1/01,1,53,NA,8,0,91.2,36,FALSE,0,NA,91%,1,T
No,M1200058,Current,The Woodlands Financial Group,2 years,MORTGAGE,175000,n,,760xx,TX,5.23,0,8/1/82,0,NA,NA,12,0,34.1,39,FALSE,0,NA,34%,1,T
