loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,policy_code,loan_status,Partition
10800,10800, 36 months,12.09%,359.18,C,C2,Memorial Sloan-Kettering Cancer Center,2 years,RENT,39288,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=364280,"A loan to consolidate several balances owned on credit cards, accumulated over the past few years. My goal is to combine my payments into one low payment, in order to alleviate the stress of having to juggle several payments, while worrying about paying costs associated with my current healthcare needs, not covered by insurances. My husband and I would also like to purchase a house in the near future, and we would like to eliminate the majority of our debt, in order to get better financing.",debt_consolidation,Debt Consolidation,104xx,NY,5.53,0,5/1/04,1,,,12,0,14922,43.8,15,f,1,1,H
9600,9600, 36 months,14.61%,330.97,D,D1,,< 1 year,RENT,96000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=465210,"  583530 added on 12/02/09 > I'M LOOKING TO OBTAIN THIS LOAN TO EXPAND MY TRUCKING COMPANY.<br/> 583530 added on 12/03/09 > IF FUNDED , ILL PURCHASE A NEW 53FT. TRAILER WHICH WILL INCREASE MY WORK PREFORMANCE AND MY ON TIME ABILITY, AND IN THE PROCESS INCREASE MY INCOME FOR MY COMPANY.<br/>",other,driving 4 the future,923xx,CA,10.45,0,6/1/87,4,,,4,0,6193,27,4,f,1,0,H
12000,12000, 36 months,9.99%,387.15,B,B1,DoD Civil Service,10+ years,MORTGAGE,61000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=788341,"  Borrower added on 07/13/11 > Loan request is to pay for medical/surgical expenses.<br/>I am a long-term government employee whose insurance did not cover all the procedures.  I intend to continue working until I'm 70 as I love what I do.  My mortgage is quite modest as I have been in my home for many years.  If there is anything else you need to know, please ask.<br/>",debt_consolidation,Medical Expenses,920xx,CA,21.57,0,9/1/87,1,,,15,0,11001,34.3,17,f,1,0,H
4500,4500, 36 months,10.00%,145.21,B,B2,arb inc,4 years,MORTGAGE,73000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=687338,  Borrower added on 03/11/11 > i have a credit card with 0% apr for the first year and the one year is about to expire. they will charge me all of the back interest if its not paid off soon. i have good credit and a good job. i am looking for an alternative to credit cards. any one?<br/> Borrower added on 03/11/11 > i have a 0% apr credit card for the first year. the year is about to expire at witch point they will charge me back interest for the whole time. i will pay off the card with this loan. i have a 700 plus credit score i own my own home and i have a good job in oil refineries and power plants. i am in the laborers union local # 507 in long beach CA.<br/>,credit_card,credit card finally gone!!!,925xx,CA,7.02,0,1/1/94,3,,,8,0,5034,21,15,f,1,1,H
14000,14000, 36 months,13.98%,478.36,C,C3,U.S. Army,10+ years,MORTGAGE,60000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=586671,,credit_card,Credit Card Consolidation,368xx,AL,18.14,1,5/1/70,1,14,,8,0,10041,40.7,26,f,1,0,H
5000,5000, 36 months,11.99%,166.05,B,B5,MEDVISION LLC,8 years,MORTGAGE,80000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=787115,,debt_consolidation,Blackwalnut,214xx,MD,16.08,0,10/1/98,0,,,4,0,636,70.7,6,f,1,0,H
15000,15000, 36 months,10.00%,484.01,B,B2,jim s coffee shop,1 year,RENT,30000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=721695,,credit_card,pay off all credit,945xx,CA,7.04,0,9/1/03,1,,,7,0,9928,33.1,12,f,1,1,H
16800,16800, 60 months,11.99%,373.63,B,B5,Wellington Management Company LLP,3 years,MORTGAGE,85000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=808759,,debt_consolidation,Debt Consolidation Loan,021xx,MA,10.73,0,12/1/95,1,,,19,0,17823,11.8,39,f,1,0,H
3500,3500, 36 months,13.49%,118.76,C,C2,Office Products Inc,10+ years,MORTGAGE,40000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=770137,  Borrower added on 05/28/11 > I am using the personal loan to purchase a vehicle. The reason its a personal loan is its a 1993 vehicle which a bank wont loan for. The vehice is currently worth $5500 and selling for $3600.<br/>,other,Jeep Loan,894xx,NV,2.49,2,10/1/00,0,10,,3,0,24029,0,14,f,1,0,H
3800,3800, 36 months,9.99%,122.6,B,B4,B N S F Railroad,10+ years,MORTGAGE,48000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=611873,,car,new car,877xx,NM,24.02,0,4/1/93,1,33,,7,0,17427,76.1,30,f,1,0,H
4800,4800, 36 months,10.99%,157.13,B,B3,ATK,4 years,OWN,80000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=767799,"  Borrower added on 05/26/11 > All funds will be used for the sole purpose of Debt Consolidation.<br/>Transunion score = 701 shows that I am an ideal borrower.<br/>I have been with ATK for 5 years, Annual salary = $80,000<br/> Borrower added on 05/28/11 > I have had no delinquencies for the past 5 years. My credit score backs this statement up<br/> Borrower added on 05/28/11 > High-Net Worth<br/> Borrower added on 05/28/11 > Income-producing assets with positive cash flow<br/> Borrower added on 05/28/11 > Debt-to-Income Ratio is very low<br/>",debt_consolidation,Rebuild,640xx,MO,21.96,2,8/1/92,2,11,,16,0,15594,20.2,41,f,1,0,H
10000,10000, 60 months,11.86%,221.74,B,B5,Medco Health Solutions,2 years,RENT,32000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=552497,  Borrower added on 08/02/10 > Steady full-time employee that always pays bills on time.  Looking to pay off all credit debt.<br/>,debt_consolidation,Ben's Personal Loan,080xx,NJ,10.73,0,7/1/99,1,63,,7,0,8336,55.4,14,f,1,0,H
14000,14000, 36 months,7.88%,437.93,A,A5,Cisco Systems,3 years,MORTGAGE,136000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=480946,,credit_card,Always pays on time,951xx,CA,15.87,0,9/1/91,0,,,20,0,232755,23,42,f,1,0,H
1800,1800, 36 months,16.49%,63.72,D,D3,Health Financial Services,1 year,OWN,65000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=875999,  Borrower added on 09/07/11 > I am looking to buy a 2000 Honda 400 EX quad.<br/>,other,To buy a Quad,067xx,CT,2.57,0,6/1/97,2,,,3,0,4426,63.2,3,f,1,0,H
10000,10000, 36 months,15.28%,348.03,D,D3,Interactive Data Inc.,< 1 year,RENT,70000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=600814,,debt_consolidation,Luke's Debt Consolidation,021xx,MA,16.49,1,9/1/03,0,11,,9,0,11959,53.6,19,f,1,0,H
10750,10750, 36 months,14.96%,372.44,D,D2,"Wagner & Company, CPA",1 year,MORTGAGE,38000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=475220,"  Borrower added on 01/15/10 > I'm a good borrower, because I pay my bills on time and I need to borrow this money so I can pay off high interest credit cards. I work as as Staff Accountant and my job is stable.<br/> Borrower added on 01/21/10 > I just want to say Thank you to everyone who has or is thinking about investing in this loan.<br/>",debt_consolidation,Consolidate Debt,958xx,CA,22.45,1,10/1/00,1,13,,9,0,15146,77.3,18,f,1,0,H
5600,5600, 36 months,12.21%,186.57,B,B5,GM retired / Novatron,1 year,MORTGAGE,55000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=365800,"  I am retired but over the last two years I have had to use credit cards to help my children and their families. I helped one prevent foreclosure, I help another one prevent repossession of auto, and I helped my third one pay for medical attention.   Even though I am retired, I have had to go back to work full time at a fraction of what I used to make to help my family and to pay for the credit cards I used to make up the difference between what they needed and what I make.   I also have guardianship of my grand-daughter that is 15 and in high school, that lives with me and I am her only means of support.    Now that my children are doing ok, I need a little help to get rid of the high interest credit card debt, so that I can concentrate on raising my grand-daughter in a comfortable fashion and prepare to send her to college",credit_card,retirement help,480xx,MI,4.36,1,8/1/78,5,14,102,6,1,6788,26.7,24,f,1,0,H
5000,5000, 36 months,9.32%,159.74,A,A4,Sharp Healthcare,10+ years,RENT,27000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=406781,"In 2006, my elderly mother came to live with my family (my husband, 2 daughters, and myself).  It was our plan to use the proceeds from the sale of Ma's home to purchase a larger home that would be comfortable for all of us.    We purchased property and a modular home last year; both are paid for (my mom is on the deed).  Unfortunately, we did not anticipate the portion of the budget that would be needed for extensive fees (city, county, school district, etc.).  We also encountered several large, unexpected expenses when we were told by a local inspector that our modular home did not meet local codes and would require modifications at our expense.   There is a well and electricity on the property, thankfully.  However, we still need to put lines in to hook them up to the house, and we need to put in a septic system.  We also need to modify the eaves on the house to comply with local fire codes.   My husband has done a lot of the work himself to save money on labor.  I work part time and also homeschool our children.   I carry minimal personal debt and we have no mortgage or car payments.  What we have, we generally pay cash for, or we go without.  We love our simple life but could use some help getting past this obstacle.  Thanks for listening and considering us.",other,Need to finish our home,921xx,CA,1.56,0,12/1/87,0,,,5,0,1303,23.7,11,f,1,0,H
20000,20000, 36 months,13.57%,679.37,C,C3,Jolley Urga Wirth Woodbury & Standish,4 years,RENT,100000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=436061,"I am a second time borrower from Lending Club.  The first loan was to consolidate high interest credit cards and pay for my wedding.  I was able to pay the loan off in full after nine months!   I am now purchasing my first home.  It is a foreclosure, has been vacant and is need of some TLC.  However, the neighborhood is beautiful, the yard is amazing and the schools are some of the best in the city.  Initially, I tried to obtain an FHA loan (203K loan) to cover up to $35,000.00 of repairs and improvements.  However, one week prior to closing HUD shut down the company that was underwriting that loan!  I had already had the home inspected and finalized my bid with the general contractor for flooring, interior and exterior paint and remodeling of two of the bathrooms.  The loan would not have covered the landscaping and pool repairs that are required, but we have saved enough to cover those expenses.  So here I am, ready to fix up my new house!",home_improvement,My Own 203K Home Improvement Loan,891xx,NV,18.81,0,9/1/99,6,,,19,0,0,0,34,f,1,0,H
10000,5325, 36 months,10.51%,173.11,B,B2,Town of Westerly,10+ years,RENT,84996,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=363007, to consolidate credit card debt,debt_consolidation,consolidation,028xx,RI,21.12,0,9/1/88,1,,,19,0,30067,61.8,41,f,1,0,H
15450,15450, 36 months,13.93%,527.52,E,E1,True North,5 years,MORTGAGE,42000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=239690,Due to unforseen medical expenses I have maxed out on credit cards & desperately want to consolidate. I do not want to lose my home!,debt_consolidation,I need to consolidate,441xx,OH,19.71,0,3/1/01,3,0,87,11,1,12032,87.2,17,f,1,1,H
27575,27575, 60 months,17.58%,693.94,D,D4,FEDEX,10+ years,MORTGAGE,64000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=995296,"  Borrower added on 10/18/11 > HOME IMPROVEMENT TO REPAIR 2 BATHROOMS, ROOF AND BASEMENT<br/>",home_improvement,MY LOAN,070xx,NJ,10.76,0,3/1/01,2,,,7,0,13087,72.7,23,f,1,1,H
12250,12250, 36 months,14.27%,420.29,C,C2,"State of Colorado, Dept of Local Affairs",10+ years,MORTGAGE,45000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1035408,I have made a plan to be debt free of credit cards by 2015 and would like this loan to pay off high interest credit card debt off that I used to support attending college. I have a stable ten year job with an excellent employment history. The consolidation of this credit card debt will reduce my monthly payment by $100 and be paid off in 3 years. Thank you,credit_card,Consolidation,800xx,CO,22.8,0,10/1/01,0,,,17,0,14161,84.8,26,f,1,0,H
6000,6000, 60 months,16.45%,147.35,E,E1,Waste Services Inc,10+ years,RENT,65000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=591833,,debt_consolidation,Debt Consolidation,327xx,FL,2.99,1,1/1/98,1,19,,10,0,2219,9.7,30,f,1,0,H
7200,7200, 60 months,16.02%,175.17,D,D5,SingerLewak LLC,< 1 year,RENT,42500,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=673932,"  Borrower added on 02/13/11 > I am trying to pay off all of my debts so that my husband and I can save to buy a home for our future family. This is our first step in that process. We both have debt and have created for ourselves a five year payment plan to reach our goal. My husband's income covers the rent and bills, and we use my income to pay down our debts. <br/><br/>We would use this loan to consolidate a few of our unstructured debts and incorporate them into our five year plan. My income is more than enough to cover the requested monthly payment for this loan and still allow room to pay our other debts down.<br/><br/>I worked at my previous job for four years as an executive assistant. I left on good terms because I moved, and I found a similar job near my new home.<br/><br/>Thank you for considering me.<br/>",debt_consolidation,Become Debt Free in 5 Years,900xx,CA,9.91,0,7/1/02,0,,,4,0,7193,91.1,5,f,1,0,H
25000,25000, 36 months,15.31%,870.39,D,D3,"Weichert Realtors, Pat Mote Properties",10+ years,MORTGAGE,70000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=448058,"I have struggled off and on for years with the cycle of debt - mostly unsecured debt.  My wife and I are ready to finally put the death knell in our credit card debt.  (My wife is a flight attendant, and makes approximately $35,000 a year in addition to my salary that I stated on the application.)   At one point the amount of unsecured debt was almost insurmountable, yet as a Christian I believe in paying for your debts and refused to file bankruptcy.  It has been tough, but we are finally seeing light at the end of the tunnel.  Although now the credit card companies are raising my interest rates- based on nothing more than greed it seems.  I would like to be able to conslidate some of my balances onto one payment, with a loan that is fixed and not raised on the whim of the credit card companies, that I can more easily concentrate on paying off.    Thank you for any consideration.  It would mean the WORLD to me, and would enable us to get closer to finally being out from under the credit card company's thumb, and closer to my dream of building a portfolio of investment properties for our future retirement. 549315 added on 10/06/09 > I have been a Realtor for 15 years, and my wife has been a flight attendant for 18 years.  Both our jobs are solid and dependable, as are we.",debt_consolidation,Help Free a Slave to Old Debt!,720xx,AR,20.45,0,9/1/92,0,28,,11,0,24105,84.6,33,f,1,0,H
10000,10000, 36 months,5.99%,304.18,A,A2,US Air Force,10+ years,MORTGAGE,84000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=794496,"  Borrower added on 06/22/11 > I am getting an in-ground swimming pool.  I have excellent credit, and a steady job.  I hate debt and try to pay off my debts early.<br/>",home_improvement,Swimming pool,730xx,OK,3.59,0,7/1/89,1,,,10,0,18786,33.5,28,f,1,0,H
8000,8000, 60 months,14.46%,188.06,D,D2,Miner's Ace Hardware,2 years,RENT,29100,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=615700,,major_purchase,Kurtis,934xx,CA,2,0,2/1/04,1,,,7,0,8225,87.3,23,f,1,1,H
5000,5000, 36 months,8.90%,158.77,A,A5,burger bros/burger king franchise,10+ years,RENT,56000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1060993,  Borrower added on 12/07/11 > good bye credit cards<br>,debt_consolidation,Debt Consolidation Loan,117xx,NY,15.47,0,3/1/89,0,,,12,0,14457,79,19,f,1,0,H
12000,12000, 36 months,6.62%,368.45,A,A2,maroone chevrolet of west dade,10+ years,MORTGAGE,56000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066582,,debt_consolidation,Debt Consolidation,330xx,FL,13.65,0,5/1/00,0,,,7,0,9873,80.3,21,f,1,0,H
6000,6000, 36 months,15.33%,208.97,D,D3,Teradyne Inc,6 years,MORTGAGE,58750,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=495615,  Borrower added on 03/16/10 > Money is needed for Wedding in June 2010<br/>,wedding,Wedding,950xx,CA,16.03,0,8/1/01,0,,,10,0,3687,92.2,17,f,1,0,H
6000,6000, 36 months,7.51%,186.67,A,A3,Diversified Clinical Serivces,2 years,MORTGAGE,62000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=889977,  Borrower added on 09/23/11 > I would like to help my son with his wedding celebration as he is not able to afford it. I would like to see he and his fiancee enjoy their day.<br/>null,wedding,wedding loan,194xx,PA,19.34,0,11/1/94,0,,,18,0,21285,34,38,f,1,0,H
4200,4200, 36 months,8.94%,133.45,A,A5,FDNY,5 years,MORTGAGE,90000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=461879,,home_improvement,Home Improvement Loan,109xx,NY,19.24,0,5/1/98,3,,,9,0,15366,50.9,20,f,1,0,H
10000,10000, 36 months,10.28%,323.98,C,C1,RoadNarrows Robotics,< 1 year,RENT,27376,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=101579,"Seven months ago I decided to drop everything and work full-time creating a web design business. I racked up debt on my credit cards buying a new computer, laptop, software, etc.... The business is taking off and I'm hiring my first full-time employee this week and will need to purchase another computer system and more software for him . This loan will be for both consolidating my current credit card debts and also enabling me to purchase the equipment I need for my new employee. In addition it will get me through the upcoming transitional/expansion period of already having to much work to do on my own and having to train my new employee to being able to take on more jobs in the next 3-5 weeks. Thank you for considering this loan!",small_business,Web Design Business Expansion Loan,805xx,CO,10.7,0,9/1/03,0,0,0,4,0,3534,54.4,4,f,1,0,H
4150,4150, 36 months,17.58%,149.16,D,D4,Poly-America,3 years,MORTGAGE,45000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1020579, Consolidate bills to manage more easily.,debt_consolidation,Funds getting put to good use.,750xx,TX,0.67,0,9/1/01,1,70,,3,0,692,46.1,14,f,1,0,H
13000,13000, 36 months,11.89%,431.14,B,B4,Mississippi Department of Employment Security,10+ years,MORTGAGE,56030,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=376211,"I have two credit cards currently one with a amount of $3,600 and an american express with $10,000.00.  The interest amount on one is 28.99% and the other at 27.22%.   I wish to pay off both amounts with an unsecured loan at a reasonable APR.  Your website indicated that payments can be made from my checking account which helps in no longer receiving a late payment charge.   I will request that the balance amount be reduce to $1000 on one card and the other card has been cut up.  The interest is killing me. I need assistance.  I want to have the amount paid off in 24 months.",debt_consolidation,CreditCardConsolidation,390xx,MS,20.11,0,4/1/95,0,,,7,0,12755,64.4,20,f,1,0,H
3000,3000, 36 months,7.88%,93.85,A,A5,Case Sabatini,3 years,MORTGAGE,50000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=496727,"  Borrower added on 03/19/10 > I operate a number of successful small real estate businesses including a property management, development and sales, and land rental.  I am currently working on two lakeview residential construction sites.  I am just looking for a small loan to cover my yearly real estate bills for my numerous lots.<br/>",small_business,Established Business- Working Capital Needs,152xx,PA,8.83,0,7/1/02,1,,,8,0,4648,48.4,11,f,1,0,H
20000,20000, 60 months,13.80%,463.3,C,C4,National Oilwell Varco,4 years,MORTGAGE,76800,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=730281,  Borrower added on 04/15/11 > I am using this loan to lower the current interest rates I am paying.  I have been at my employer for 4 years and my job is stable and secure.  I pay my bills on time monthly and am responsible with my money.  All of these factors combined go to show that I am responsible and trustworthy.<br/> Borrower added on 04/15/11 > I am using this loan to lower my interest rates.  I have been with my current employer for 4 years and my job is stable and secure.  My payment history is solid and I am responsible in my financial dealings.  The information above shows that I am responsible and dependable.<br/>,debt_consolidation,Get Out of Debt Free,774xx,TX,28.58,0,8/1/87,1,37,,12,0,18179,49.3,23,f,1,1,H
18000,18000, 36 months,8.88%,571.4,B,B1,department of homeland security,4 years,RENT,50000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=611933,"  Borrower added on 11/15/10 > The Lending Club is a great website, that can help many middle Americans get that much closer in briging the gap, by offering a better way of getting loans. Finally the nickel and diming stops here.<br/> Borrower added on 11/16/10 > Much appreciation to all the investors.Thanks<br/> Borrower added on 11/17/10 > Once again thanks you, we have passed the .5 marker yey, help here you come ...<br/> Borrower added on 11/18/10 > ...only 4 days left, crossing fingers that the last 40 percent is reach... &quot;)<br/> Borrower added on 11/20/10 > Amazing... Simply put<br/>",debt_consolidation,Debt Consolidation,113xx,NY,18.38,0,8/1/03,0,,,16,0,12969,46.3,29,f,1,0,H
20675,20675, 60 months,12.99%,470.32,C,C1,Wells Fargo,5 years,MORTGAGE,89500,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=808708,  Borrower added on 07/13/11 > We are buying super cheap investment properties and just need the down payment money. The houses will be turned into rentals and that income will be applied to the loan payments. Its a buyers market and its time to buy!<br/>,house,Home Down Payment,856xx,AZ,12.86,0,1/1/96,0,,,8,0,22647,37.6,29,f,1,0,H
15000,15000, 60 months,19.79%,395.66,E,E2,Walmart,2 years,MORTGAGE,108000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=781320,  Borrower added on 06/09/11 > I plan on using these funds to consolidate credit card debt.  I always pay my bills on time and my job is extremely stable.<br/>,debt_consolidation,Consolidation,727xx,AR,16.27,0,6/1/00,1,46,,13,0,13883,83.1,52,f,1,0,H
2000,2000, 36 months,14.27%,68.62,C,C2,American Airlines,10+ years,MORTGAGE,33000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=971107,  Borrower added on 09/29/11 > pay off credit cards<br/>,debt_consolidation,pay off credit cards,857xx,AZ,8,0,4/1/96,0,56,,5,0,1894,78.9,24,f,1,1,H
13000,13000, 36 months,6.54%,398.68,A,A4,CA Dept of Social Services,10+ years,RENT,61211.04,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=638786,"  Borrower added on 12/24/10 > Bank of America raised the interest rate on my line of credit despite never paying under the minimum or making a late payment. They refused to reduce the rate, so I look forward to closing this account.<br/> Borrower added on 12/27/10 > Current monthly payment to Bank of America is $450 so monthly payment for this loan is no problem.  Lastly, I have had stable employment with the government where I have worked for just under 20 years.<br/>",credit_card,B of A Payoff,945xx,CA,23.17,0,11/1/94,0,,,5,0,14159,44.4,15,f,1,0,H
28000,28000, 60 months,14.27%,655.44,C,C2,mckinstry co.,7 years,MORTGAGE,95000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1062577,"  Borrower added on 12/09/11 > This loan consolidates all my consumer debt, including car payments. It will reduce my total monthly payment drastically and I will be debt free in 5 years or less.  <br> Borrower added on 12/10/11 > Right now we pay $1,000 per month on consumer debt (including car payment). This loan will lower that payment by $350 per month. I have a stable job, I've worked for the same employer for 7 years. This loan seems like a &quot;no brainer&quot; to me, and I'm excited to be debt free. I pride myself on paying my bills on time and I enjoy having good credit.<br>",debt_consolidation,debt consolidation,981xx,WA,9.46,0,5/1/00,1,,,9,0,17936,68.1,29,f,1,0,H
9600,9600, 36 months,9.99%,309.72,B,B1,,,RENT,24000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=818619,  Borrower added on 08/08/11 > Loan will be used for Credit card consolidation and get myself back on track with spending.<br/> Borrower added on 08/17/11 > I appreciate all considerations in my attempt to payoff my credit cards so that I can close them and use cash only for my purchases.  I will make double payments to payoff loan sooner as well.<br/>,debt_consolidation,consolidation,945xx,CA,17.1,0,6/1/91,3,49,,18,0,10793,20.7,59,f,1,0,H
4000,4000, 60 months,9.99%,84.97,B,B4,university medical center,4 years,RENT,26400,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=630574,"  Borrower added on 12/09/10 > I needed a loan to help my brother pay out his lease for his apartment because he has cyst on brain and I know sooner or later he will have to get meds, neurologist visit, doctor bills.  This money is to help him.  He is in school.  He had to move in with me.  He has part time job and his jeep under title line and I don't want him to be convicted from his apartment with just two more months left to stay there.<br/>",other,personal,705xx,LA,22.91,0,11/1/94,0,,106,6,1,0,0,27,f,1,1,H
20000,20000, 60 months,13.99%,465.27,C,C3,ARCHS,9 years,OWN,50004,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=742057,  Borrower added on 05/03/11 > Will be using the funds to consolidate 2 credit card balances into a single (lower) payment.  Original charges were used to perform home repairs.  I was unable to secure a home equity loan because the drop in the housing market put my home loan just about 90% of loan-to-value.<br/>,debt_consolidation,Consolidation Loan,631xx,MO,21.33,0,5/1/97,3,,,8,0,11372,49.7,19,f,1,0,H
3200,3200, 36 months,9.25%,102.14,B,B2,Alta bates summit hospital,3 years,MORTGAGE,70000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=605699,"  Borrower added on 10/28/10 > Seeking loan, to consolidate a couple of small bills.<br/>",debt_consolidation,Lewis,350xx,AL,22.9,0,12/1/90,2,49,,11,0,6607,44.6,32,f,1,0,H
8875,8875, 36 months,8.90%,281.81,A,A5,Morongo Band of Mission Indians,6 years,OWN,28800,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1032875,,debt_consolidation,Bill Payoff,922xx,CA,24.29,0,9/1/98,0,,,10,0,8890,69.5,23,f,1,0,H
6000,6000, 36 months,15.70%,210.07,D,D4,Saint Lucie County School Board,2 years,RENT,39000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=489632,,wedding,Dream Wedding,349xx,FL,13.2,0,10/1/01,1,,,6,0,10945,99.5,8,f,1,0,H
1200,1200, 36 months,11.54%,39.6,C,C5,Eastland Park Hotel,< 1 year,RENT,20000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=109355,"I've had far too many issues with Bank of America and their policies, and would like to clear my high interest debt with them so I can more easily move my finances over to a local bank that actually cares about its customers and community.  I'm also a big fan of the idea of Lending Club and would definitely like to participate as a lender in the future.  I think community based projects such as this are really the future, and a great way to help fellow people, rather than corporations.  I've got a steady job and am in no way in financial woes, but it would be nice to clear this debt as soon as possible, which is why I'm requesting this loan.",credit_card,Bank of America- Blah!,041xx,ME,2.04,0,5/1/04,2,24,0,3,0,1153,75.8,4,f,1,0,H
3600,3600, 36 months,12.42%,120.3,B,B4,new york city marshal,6 years,RENT,45000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1018500,,car,car loan,104xx,NY,9.2,1,11/1/03,1,13,,6,0,2812,54.1,27,f,1,0,H
12000,12000, 60 months,15.95%,291.5,D,D4,"Environmental Operations, Inc.",10+ years,MORTGAGE,67000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=534732,,small_business,Inheritance,630xx,MO,6.21,0,10/1/96,3,45,,4,0,5056,91.9,12,f,1,0,H
24000,24000, 36 months,13.11%,809.88,C,C2,Transquest,1 year,MORTGAGE,260000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=498931,"  Borrower added on 03/27/10 > I work in the defense industry which is very stable.  I need to pay off my revolving loans ASAP to take advantage of current real estate rates before they go up.  I have never made a late payment, my score is only in the low 700s because of high revolving debt utilization.<br/>",debt_consolidation,"Revolving Debt Consolidation, high income, stable industry",420xx,KY,6.48,0,3/1/97,4,,,14,0,108432,74.5,35,f,1,0,H
15000,15000, 36 months,9.76%,482.32,B,B2,Iroquois Nursing Home,1 year,MORTGAGE,26000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=264267,Put a second bathroom in my three bedroom home and replace all of the windows in my dining room which has windows on three sides.  To also put a new floor in the dining room.,home_improvement,Home improvements,132xx,NY,5.77,0,8/1/95,1,0,0,22,0,3050,2.9,49,f,1,1,H
3200,3200, 36 months,9.99%,103.24,B,B1,JDW Beauty Inc.,10+ years,MORTGAGE,69996,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=823579,,other,Eye surgury,775xx,TX,0,0,10/1/97,1,,,2,0,0,0,9,f,1,0,H
